,step,agent_num,mean_q_loss,mean_exp_return
671,233,2,5.7363195,12.8462
672,234,0,4.888048,15.114293
673,234,1,5.6531477,13.496917
674,234,2,6.296442,18.034819
675,235,0,5.3713455,18.078634
676,235,1,10.249683,16.062735
677,235,2,6.016977,12.327414
678,236,0,3.4519584,13.737974
679,236,1,4.9921536,14.8787565
680,236,2,3.3510761,13.715007
681,237,0,13.755844,15.097329
682,237,1,4.2113914,15.566982
683,237,2,4.4699936,13.87238
684,238,0,13.323389,18.702871
685,238,1,6.739258,15.060355
686,238,2,6.1496086,13.267726
687,239,0,15.893523,17.158014
688,239,1,7.7489915,17.825195
689,239,2,10.815506,10.221443
690,240,0,11.559675,18.282438
691,240,1,5.442201,17.40275
692,240,2,18.679047,13.912055
693,241,0,3.9245312,16.511854
694,241,1,3.939384,10.692207
695,241,2,15.363815,14.303893
696,242,0,4.6120534,13.335657
697,242,1,4.4932313,16.524343
698,242,2,9.6342945,12.445077
699,243,0,5.1556225,15.240549
700,243,1,31.782503,19.075672
701,243,2,10.06439,15.595003
702,244,0,6.6572876,18.919592
703,244,1,2.9902527,16.96467
704,244,2,5.027967,19.540453
705,245,0,5.795169,14.809322
706,245,1,4.4999557,17.52976
707,245,2,4.600148,17.464935
708,246,0,4.6396856,17.805908
709,246,1,4.459219,15.864178
710,246,2,3.9973319,20.037048
711,247,0,1.9284832,14.364306
712,247,1,1.9424657,19.249891
713,247,2,3.0110297,18.605904
714,248,0,4.7527847,17.61171
715,248,1,4.452083,15.242347
716,248,2,5.4174576,18.618711
717,249,0,14.414204,12.940567
718,249,1,7.07597,15.872833
719,249,2,9.833208,18.689938
720,250,0,5.8187566,12.036206
721,250,1,11.645429,11.431556
722,250,2,16.23631,16.170904
723,251,0,4.9319096,16.421062
724,251,1,7.8210526,14.547571
725,251,2,8.109449,13.979493
726,252,0,5.19477,16.516523
727,252,1,6.163488,17.992062
728,252,2,12.457539,20.06561
729,253,0,10.736133,13.256648
730,253,1,3.8350372,11.5563755
731,253,2,5.128075,17.054842
732,254,0,4.308959,15.950789
733,254,1,4.1565742,18.740995
734,254,2,6.162009,13.713432
735,255,0,4.9383936,14.899302
736,255,1,6.7480702,18.19294
737,255,2,6.8736024,14.172515
738,256,0,5.285056,19.966356
739,256,1,15.526965,12.863121
740,256,2,5.5539684,20.763506
741,257,0,11.760559,17.02785
742,257,1,5.0693274,13.011233
743,257,2,14.264421,11.679304
744,258,0,5.7824535,16.646593
745,258,1,5.6861277,17.046688
746,258,2,5.929451,10.51316
747,259,0,4.6696773,15.470117
748,259,1,18.023401,17.017405
749,259,2,3.6844954,18.114887
750,260,0,3.914369,16.961128
751,260,1,3.9913893,17.28062
752,260,2,11.099782,16.473904
753,261,0,4.977685,13.494637
754,261,1,7.262188,15.211323
755,261,2,6.6581874,13.444722
756,262,0,4.1444774,19.273788
757,262,1,4.16433,16.80773
758,262,2,6.7902384,13.540367
759,263,0,5.002211,18.043331
760,263,1,10.437471,12.973478
761,263,2,7.8059683,13.579771
762,264,0,4.5812693,18.257458
763,264,1,3.3870947,16.975029
764,264,2,3.516685,13.24582
765,265,0,4.577276,16.912462
766,265,1,16.491028,13.641901
767,265,2,10.034832,13.28028
768,266,0,4.366515,17.305813
769,266,1,8.265034,15.718214
770,266,2,4.5710115,11.14292
771,267,0,9.339544,18.433805
772,267,1,4.398207,14.826827
773,267,2,5.0820937,8.080663
774,268,0,9.127153,16.460232
775,268,1,10.941626,10.853953
776,268,2,8.309015,11.666827
777,269,0,4.7114263,20.229893
778,269,1,5.7557297,15.117917
779,269,2,7.649563,17.252293
780,270,0,7.108123,13.891749
781,270,1,4.8624763,17.235682
782,270,2,9.186105,10.926363
783,271,0,7.8351955,15.500249
784,271,1,7.6921425,10.044242
785,271,2,9.061907,11.014707
786,272,0,6.0203323,21.02465
787,272,1,12.234016,14.428963
788,272,2,12.416216,16.258736
789,273,0,10.25208,13.704776
790,273,1,16.682636,17.10805
791,273,2,11.937584,11.156449
792,274,0,6.521248,19.366999
793,274,1,11.138953,16.2308
794,274,2,3.9565685,13.067821
795,275,0,4.0532684,18.147305
796,275,1,13.481489,14.774834
797,275,2,4.065889,17.240767
798,276,0,6.3881817,19.739056
799,276,1,16.376513,14.153233
800,276,2,4.0766926,13.623078
801,277,0,3.7577965,17.880358
802,277,1,8.799238,12.848866
803,277,2,3.6157575,14.0738
804,278,0,4.9496117,19.773512
805,278,1,5.377155,15.91445
806,278,2,4.23615,15.898311
807,279,0,15.789226,16.049938
808,279,1,6.2703376,19.061905
809,279,2,9.591315,15.899682
810,280,0,7.936551,17.855335
811,280,1,23.64896,20.702246
812,280,2,4.8064647,17.621748
813,281,0,3.3246002,16.810198
814,281,1,3.5024617,19.824183
815,281,2,17.94457,12.657001
816,282,0,6.564788,12.490787
817,282,1,7.273671,15.029323
818,282,2,6.218611,19.43809
819,283,0,8.030066,14.975096
820,283,1,8.786253,16.181484
821,283,2,3.3581038,17.75084
822,284,0,3.442563,18.482214
823,284,1,3.422071,12.908203
824,284,2,3.6345544,17.799065
825,285,0,6.16341,12.749946
826,285,1,5.8977013,23.387518
827,285,2,6.946268,21.924908
828,286,0,7.5988746,18.780958
829,286,1,22.591694,25.056583
830,286,2,5.4412413,11.830402
831,287,0,3.579525,17.033407
832,287,1,19.521389,19.542767
833,287,2,4.1074047,21.91372
834,288,0,4.6612535,17.52201
835,288,1,4.4274344,19.357807
